"Период","Google","Яндекс","Bing","Mail.ru","Sogou","Baidu","Tut.by","Yahoo!","Rambler","DuckDuckGo","Ukr.net","Ecosia"
"2020-06-14","6","8","0","0","0","0","0","0","0","0","0","0"
"2020-06-15","20","6","0","0","0","0","0","0","0","0","0","0"
"2020-06-16","21","9","0","0","1","0","0","0","0","0","0","0"
"2020-06-17","11","13","0","1","0","0","0","0","0","0","0","0"
"2020-06-18","22","11","0","0","0","0","1","0","0","0","0","0"
"2020-06-19","19","9","0","1","1","0","0","0","0","0","0","0"
"2020-06-20","7","14","0","0","0","0","0","0","0","0","0","0"
"2020-06-21","11","14","0","0","0","0","0","1","0","0","0","0"
"2020-06-22","18","21","0","2","1","0","0","0","0","0","0","0"
"2020-06-23","15","11","0","0","0","0","0","0","0","0","0","0"
"2020-06-24","24","17","0","0","0","0","1","0","0","0","0","0"
"2020-06-25","5","14","0","0","1","0","0","0","0","0","0","0"
"2020-06-26","6","12","0","0","0","0","0","0","0","0","0","0"
"2020-06-27","5","6","0","0","0","0","0","0","1","0","0","0"
"2020-06-28","6","7","0","1","1","0","0","0","0","0","0","0"
"2020-06-29","14","19","0","0","0","0","0","0","0","0","0","0"
"2020-06-30","12","17","0","0","0","0","0","1","0","0","0","0"
"2020-07-01","17","14","0","0","1","0","1","0","0","0","0","0"
"2020-07-02","5","12","0","0","0","0","2","0","0","0","0","0"
"2020-07-03","5","5","0","0","0","0","0","0","0","0","0","0"
"2020-07-04","8","4","0","0","0","0","0","0","0","0","0","0"
"2020-07-05","7","10","0","0","0","0","0","0","0","0","0","0"
"2020-07-06","12","16","0","0","0","0","1","0","0","0","0","0"
"2020-07-07","21","16","0","1","1","0","0","0","0","0","0","0"
"2020-07-08","11","8","0","1","0","0","0","0","0","0","0","0"
"2020-07-09","8","17","0","2","0","0","0","0","0","0","0","0"
"2020-07-10","17","11","0","0","0","1","0","0","0","0","0","0"
"2020-07-11","6","9","0","0","0","0","0","1","0","0","0","0"
"2020-07-12","8","4","0","1","0","0","1","0","0","0","0","0"
"2020-07-13","16","12","0","0","1","0","2","0","0","0","0","0"
"2020-07-14","12","16","0","0","0","0","2","0","0","0","0","0"
"2020-07-15","23","17","0","0","0","0","2","0","0","0","0","0"
"2020-07-16","6","21","0","0","1","0","2","0","0","0","0","0"
"2020-07-17","4","11","1","0","0","0","1","0","0","0","0","0"
"2020-07-18","8","6","0","0","0","0","0","0","0","0","0","0"
"2020-07-19","7","13","0","0","1","0","0","0","0","0","0","0"
"2020-07-20","11","14","0","0","0","0","1","0","0","0","0","0"
"2020-07-21","12","15","0","0","0","0","0","0","0","0","0","0"
"2020-07-22","10","8","0","0","1","0","1","0","1","0","0","0"
